rowNo,templateRow,key,category,guideline,assessmentForm,assessmentStage,assessmentSection
1,7,performance.avg_load_time,Performance,Website load-time is reasonable,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,A User Experience
2,8,navigation.home_link_accessible,Navigation,Site logo is easy to find and links to the home page,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,A User Experience
3,9,navigation.about_contact_home_links,Navigation,The About Us Contact Us and Home links are easy to find,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,A User Experience
4,10,navigation.back_to_homepage,Navigation,User easily gets back to homepage or a relevant start point,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,A User Experience
5,11,content.tag_meta_descriptions,Content & Text,Page tags meta descriptions headers and URLs are clear and descriptive,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,B Content and Text
6,12,content.text_readability,Content & Text,Text on the page is easy to read,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,B Content and Text
7,13,content.relevance_detail,Content & Text,Content on the page is sufficiently relevant and detailed to meet user goals,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,B Content and Text
8,14,content.terminology_consistency,Content & Text,Terms language and tone used are consistent (e.g. the same term is used throughout),Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,B Content and Text
9,15,content.language_tone_appropriate,Content & Text,Language terminology and tone used is appropriate and readily understood by the target audience,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,B Content and Text
10,16,a11y.image_alt,Technical Accessibility,Images have appropriate ALT tags,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,B Content and Text
11,17,content.legibility_contrast,Content & Text,Text and content is legible and scannable with good typography and visual contrast,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,B Content and Text
12,18,content.font_spacing,Content & Text,Font size/spacing is easy to read,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,B Content and Text
13,19,content.flash_addons,Content & Text,Flash & add-ons are used sparingly,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,B Content and Text
14,20,a11y.descriptive_links,Content & Text,Links are clear descriptive and well labeled,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,B Content and Text
15,21,error.custom_404,Error Handling,There is a custom 404 page for broken links,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,C Error Handling
16,22,error.recovery,Error Handling,Users can easily recover (i.e. not have to start again) from errors,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,C Error Handling
17,23,error.messages,Error Handling,Error messages are concise written in easy to understand language and describe what occurred and what action is necessary,Web Accessibility Assessment Form - Web Usability,Usability - Accessibility,C Error Handling
18,24,identity.logo_featured,Brand Identity,Site logo is easy to find (i.e. located on top of the page),Web Accessibility Assessment Form - Web Usability,Usability - Identity,A Company / site logo is prominently placed
19,25,identity.logo_home_link,Brand Identity,Site logo links to the home page,Web Accessibility Assessment Form - Web Usability,Usability - Identity,A Company / site logo is prominently placed
20,26,identity.logo_size,Brand Identity,Follow recommended logo size as prescribed in GWT,Web Accessibility Assessment Form - Web Usability,Usability - Identity,A Company / site logo is prominently placed
21,27,identity.tagline_purpose,Brand Identity,Tagline makes company's purpose clear,Web Accessibility Assessment Form - Web Usability,Usability - Identity,B Home-page is digestible in 5 seconds
22,28,identity.homepage_digestible,Brand Identity,Purpose of the site and critical actions are clear within 5 seconds,Web Accessibility Assessment Form - Web Usability,Usability - Identity,B Home-page is digestible in 5 seconds
23,29,navigation.access_site,Navigation,Users can easily access the site or application,Web Accessibility Assessment Form - Web Usability,Usability - Navigation,A Main navigation is easily identifiable
24,30,navigation.back_start_point,Navigation,Users can easily get back to the homepage or to a relevant start point,Web Accessibility Assessment Form - Web Usability,Usability - Navigation,A Main navigation is easily identifiable
25,31,navigation.sitemap_structure,Navigation,A clear and well structure site map or index is provided (if applicable),Web Accessibility Assessment Form - Web Usability,Usability - Navigation,A Main navigation is easily identifiable
26,32,navigation.scheme_consistency,Navigation,The navigation scheme (e.g. menu) is easy to find intuitive and consistent,Web Accessibility Assessment Form - Web Usability,Usability - Navigation,A Main navigation is easily identifiable
27,33,navigation.structure_understanding,Navigation,The site of application structure is easily understood and addresses common user goals,Web Accessibility Assessment Form - Web Usability,Usability - Navigation,B Navigation labels are clear & concise
28,34,navigation.tags_meta_clear,Navigation,The tags meta descriptions headers and URLs are clear and descriptive,Web Accessibility Assessment Form - Web Usability,Usability - Navigation,B Navigation labels are clear & concise
29,35,browser.standard_functions,Browser Compatibility,Number of buttons/links is reasonable,Web Accessibility Assessment Form - Web Usability,Usability - Navigation,C Browser standard functions are supported
30,36,browser.mobile_viewability,Browser Compatibility,The important site content is viewable on a small monitor without scrolling,Web Accessibility Assessment Form - Web Usability,Usability - Navigation,C Browser standard functions are supported
31,37,navigation.logo_homepage_link,Navigation,Company logo is linked to home-page,Web Accessibility Assessment Form - Web Usability,Usability - Navigation,D Company logo is linked to home-page
32,38,content.headings_descriptive,Content,Title tags are descriptive,Web Accessibility Assessment Form - Web Usability,Usability - Content,A Major headings are clear & descriptive
33,39,content.meta_descriptive,Content,Meta descriptions are descriptive,Web Accessibility Assessment Form - Web Usability,Usability - Content,A Major headings are clear & descriptive
34,40,content.headers_descriptive,Content,Headers are descriptive,Web Accessibility Assessment Form - Web Usability,Usability - Content,A Major headings are clear & descriptive
35,41,content.urls_descriptive,Content,URLs are descriptive,Web Accessibility Assessment Form - Web Usability,Usability - Content,A Major headings are clear & descriptive
36,42,content.critical_above_fold_line,Content,The line where the critical news / story or photograph is often located,Web Accessibility Assessment Form - Web Usability,Usability - Content,B Critical content is above the fold
37,43,content.critical_purpose_clear,Content,Purpose of the site and the critical actions are clear within 5 seconds,Web Accessibility Assessment Form - Web Usability,Usability - Content,B Critical content is above the fold
38,44,content.critical_eye_path,Content,Critical content is where the user's eye naturally goes,Web Accessibility Assessment Form - Web Usability,Usability - Content,B Critical content is above the fold
39,45,a11y.color_contrast,Technical Accessibility,Color is not used as the sole method of conveying information,Web Accessibility Assessment Form - Web Usability,Usability - Content,C Styles & colours are consistent
40,46,a11y.color_links,Technical Accessibility,Color alone is not used to distinguish links from surrounding text unless the luminance contrast is at least 3:1,Web Accessibility Assessment Form - Web Usability,Usability - Content,C Styles & colours are consistent
41,47,content.emphasis_sparingly,Content,Emphasis (bold etc.) is used sparingly,Web Accessibility Assessment Form - Web Usability,Usability - Content,D Emphasis is used sparingly
42,48,content.no_seizure_content,Content,No page content flashes more than 3 times per second unless required or low contrast,Web Accessibility Assessment Form - Web Usability,Usability - Content,E Ads & pop-ups are unobtrusive
43,49,content.no_excessive_flashing,Content,Page does not contain too much red or flashing content,Web Accessibility Assessment Form - Web Usability,Usability - Content,E Ads & pop-ups are unobtrusive
44,50,content.copy_concise,Content,Main copy is concise & explanatory,Web Accessibility Assessment Form - Web Usability,Usability - Content,F Main copy is concise & explanatory
45,51,content.page_titles_explanatory,Content,HTML page titles are explanatory,Web Accessibility Assessment Form - Web Usability,Usability - Content,G HTML page titles are explanatory
46,52,company_info.about_link,Company Information,About Us link is easy to find,Web Accessibility Assessment Form - Web Usability,Usability - Content,Clear path to company information
47,53,company_info.home_link,Company Information,Home link is easy to find,Web Accessibility Assessment Form - Web Usability,Usability - Content,Clear path to company information
48,54,company_info.transparency_link,Company Information,Transparency Link is easy to find,Web Accessibility Assessment Form - Web Usability,Usability - Content,Clear path to company information
49,55,company_info.key_official,Company Information,Key Official Corner is easy to find,Web Accessibility Assessment Form - Web Usability,Usability - Content,Clear path to company information
50,56,contact_info.phone,Contact Information,Telephone Number is provided,Web Accessibility Assessment Form - Web Usability,Usability - Content,Clear path to contact information - Contact Us Link
51,57,contact_info.fax,Contact Information,Fax Number is provided,Web Accessibility Assessment Form - Web Usability,Usability - Content,Clear path to contact information - Contact Us Link
52,58,contact_info.mobile,Contact Information,Mobile Number is provided,Web Accessibility Assessment Form - Web Usability,Usability - Content,Clear path to contact information - Contact Us Link
53,59,contact_info.email,Contact Information,Email Address is provided,Web Accessibility Assessment Form - Web Usability,Usability - Content,Clear path to contact information - Contact Us Link
